"nil","nil"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"小椰果","九灵"," 12/1","59","0","145998120","0","1895175","0","2911581","36896551","15","0","13"
"生生","神相"," 17/6","150","0","279905362","0","741524","0","4362146","73227894","4","0","0"
"星星崽","铁衣"," 0/0","68","0","32880165","0","111920","0","5046739","171367056","9","0","0"
"满意","沧澜"," 6/0","50","0","80614395","0","9736002","0","2600000","37869303","8","0","0"
"靳寒烟","碎梦"," 11/2","45","0","91285832","0","0","0","2240583","26664570","7","0","0"
"时时赴","鸿音"," 16/3","61","0","178147836","24574632","665095","0","164086","16520855","3","0","0"
"小莹","素问"," 0/0","182","0","906162","0","0","0","240960809","64212594","4","10","0"
"暮念念","潮光"," 10/1","109","0","92140428","0","2833125","0","18507119","34667649","13","12","0"
"麦哩","鸿音"," 0/0","53","0","1211748","0","83383","0","145726086","61755993","12","11","0"

